author_id,id,name,score
1717841,1742208,Marc Pollefeys,458
1717841,1738740,Sing Bing Kang,397
1717841,144154486,Harry Shum,335
1717841,40454588,Jan-Michael Frahm,297
1717841,1679223,Steven M. Seitz,266
48898002,46919067,Ronald D Vale,34
48898002,38745402,Ronald D. Vale,31
48898002,2450278,Kerwyn Casey Huang,30
48898002,3684530,Qiuyi Chi,24
48898002,39094438,Jeff Hardin,23
8610628,46919067,Ronald D Vale,32
8610628,38745402,Ronald D. Vale,31
8610628,2450278,Kerwyn Casey Huang,24
8610628,3684530,Qiuyi Chi,24
8610628,3020211,David R Sherwood,21
16207529,38745402,Ronald D. Vale,30
16207529,46919067,Ronald D Vale,24
16207529,3684530,Qiuyi Chi,22
16207529,2450278,Kerwyn Casey Huang,22
16207529,2980130,James N. Palmer,20
145127145,4339954,Jonathan M. Scholey,71
145127145,38745402,Ronald D. Vale,42
145127145,1388888332,Ingrid Brust-Mascher,34
145127145,1403646098,Gul Civelekoglu-Scholey,29
145127145,46919067,Ronald D Vale,24
47555516,38745402,Ronald D. Vale,70
47555516,46919067,Ronald D Vale,44
47555516,2450278,Kerwyn Casey Huang,30
47555516,6025966,Dieter R. Klopfenstein,26
47555516,3695831,Marvin E. Tanenbaum,26
